name,column,row,page_columns,publication_id
2단통,7,2,7,1
3단통,7,3,7,1
4단통,7,4,7,1
5단18_짝수,3,5,6,1
5단18_홀수,3,5,6,1
5단통,7,5,5,1
5단 브릿지,14,5,14,1
6단통,7,6,7,1
7단15_짝수,3,7,7,1
7단15_가운데,3,7,7,1
7단15_홀수,3,7,7,1
7단통,7,7,7,1
7단 브릿지,14,8,14,1
7.5단통,7,8,7,1
7.5단 브릿지,14,8,14,1
8단27_짝수,5,8,7,1
8단27_홀수,7,8,7,1
8단통,7,8,7,1
8단 브릿지,14,8,14,1
9단21_짝수,5,9,7,1
9단21_홀수,5,9,7,1
9단 브릿지,14,9,14,1
10단통,7,10,7,1
10단 브릿지,14,10,14,1
15단10_짝수,2,15,7,1
15단10_홀수,2,15,7,1
15단12_짝수,2,15,6,1
15단12_홀수,2,15,6,1
15단15_짝수,3,15,7,1
15단15_홀수,3,15,7,1
15단18_짝수,3,15,6,1
15단18_홀수,3,15,6,1
15단통_전면,7,15,7,1
15단 브릿지,14,16,14,1
2단통,6,2,6,1
