name,title,work,position,email,cell,opinion_image,publication_id,category_code
내일시론,내일시론,"","",,,,1,
조태진,경제시평,법무법인 서로 변호사,MBA,"",,,1,2202
홍면기,신문로,정치학 박사,전 동북아역사재단 연구위원,"",,,1,2103
홍덕률,신문로,대구대학교 총장,"","",,,1,2103
정용영,경제시평,노사발전재단,기획위원,"",,,1,2202
조원명,신문로,전 브루나이 대사,"","",,,1,2103
김수종_,김수종 칼럼,언론인,전 한국일보 주필,"",,,1,2303
진징이,중국시평,베이징대 교수,"","",,,1,2203
김진동_,김진동 칼럼,언론인,전 서울경제 주필,"",,,1,2307
전병서,경제시평,중국경제금융연구소장,"","",,,1,2202
박태견_,박태견 칼럼,"",<뷰스앤뉴스> 편집국장,"",,,1,2312
차미례_,차미례의 발차기,"",언론인·번역가,"",,,1,2325
이원섭_,이원섭 칼럼,논설고문,전 한겨레 논설위원 실장,"",,,1,2317
퍄오둥쉰,중국시평,연변대 교수,"","",,,1,2203
추잉지우,중국시평,베이징대 교수,"","",,,1,2203
장롄구이,중국시평,중국 중앙당교 교수,"","",,,1,2203
김윤철=,정치시평,경희대 교수,후마니타스칼리지,"",,,1,2201
박현채_,박현채 칼럼,"",논설고문,"",,,1,2330
최창렬,신문로,용인대 교육대학원장,"","",,,1,2103
문창재_,문창재 칼럼,"",논설고문,"",,,1,2310
지영선_,지영선의 초록희망,언론인,생명의숲 공동대표,"",,,1,2324
임현진_,임현진 칼럼,서울대 명예교수,정치사회학,"",,,1,2320
차오창청,중국시평,베이징대 교수,"","",,,1,2203
이용원_,이용원의 세상탐사,언론인,동국대 겸임교수,"",,,1,2327
이선진_,이선진 칼럼,"",전 주인도네시아 대사,"",,,1,2339
유철규_,유철규 칼럼,성공회대 교수,경제학,"",,,1,2337
안종주_,안종주의 세상탐사,"",언론인,"",,,1,2315
손병수_,손병수 칼럼,"",언론인,"",,,1,2331
성한표_,성한표 칼럼,언론인,전 한겨레 논설주간,"",,,1,2313
문송천_,문송천 칼럼,카이스트,경영대학원 교수,"",,,1,2334
김택환_,김택환 칼럼,언론인,경기대 특임교수,"",,,1,2308
김주언_,김주언의 세상탐사,"",언론인,"",,,1,2306
김영호_,김영호 칼럼,"",언론인,"",,,1,2304
김국주_,김국주의 글로벌경제,"",금융인,"",,,1,2302
이정희-A,경제시평,중앙대 경제학부 교수,"","",,,1,2202
최동술,경제시평,경제평론가,"","",,,1,2202
천펑쥔,중국시평,베이징대 교수,"","",,,1,2203
차미례,신문로,"",언론인·번역가,"",,,1,2103
차기태,신문로,언론인,"","",,,1,2103
주정립,신문로,성공회대 연구교수,정치학,"",,,1,2103
조홍식,신문로,숭실대 교수,정치학,"",,,1,2103
조성경,경제시평,명지대학교 교수,"","",,,1,2202
조규상,경제시평,경제평론가,"","",,,1,2202
정재민,신문로,방위사업청 과장 / 전 판사,"","",,,1,2103
정욱식,신문로,평화네트워크 대표,"","",,,1,2103
정용언,경제시평,"","","",,,1,2202
정무길,경제시평,노무법인 베스트솔루션,대표,"",,,1,2202
장행훈,장행훈이 보는 세계,언론인,"","",,,1,2321
장둥밍,중국시평,랴오닝대 교수,"","",,,1,2203
임채운,경제시평,서강대 교수,경영학,"",,,1,2202
정세용_,정세용 칼럼,"",주필,csy@naeil.com,,,1,2322
이시엘,행복한 너네집,윤보라 둘째,예쁜이,"",,,1,
이시언,행복한 우리집,이동명 셋째,귀염둥이 담당,"",,,1,
양승현,신문로,가천대사회과학대학장,미디어커뮤니케이션학,"",,,1,2103
