name,profile_image,work,position,email,publication_id,created_at,updated_at,title
황성수,황성수.eps,직업능력개발원 연구위원,"",,1,2018-06-22 08:33:21 +0900,2018-06-22 09:36:14 +0900,기고
홍덕률,,대구대학교 ,총장,,1,2018-05-30 15:14:51 +0900,2018-06-04 09:21:00 +0900,
홍길동,,활빈당,당수,,1,2018-05-30 15:14:51 +0900,2018-06-05 12:56:46 +0900,기고
최진협,최진협.eps,여성민우회 사무처장,"",,1,2018-06-14 08:30:33 +0900,2018-06-14 08:37:08 +0900,기고
최승재,최승재.eps,소상공인회연합,회장,,1,2018-06-04 09:11:44 +0900,2018-06-04 11:02:48 +0900,
최낙원,최낙원.eps,대한통합암학회 이사장,"",,1,2018-06-20 08:42:25 +0900,2018-06-20 09:50:25 +0900,기고
조명래,조명래.eps,농촌진흥청,원예작물부 부장,,1,2018-06-01 09:27:07 +0900,2018-06-01 16:39:49 +0900,
정지연,정지연.eps,한국소비자연맹 사무총장,"",,1,2018-06-26 08:33:29 +0900,2018-06-26 09:48:37 +0900,기고
이유진,이유진.eps,녹색전환연구소 연구원,"",,1,2018-06-12 09:14:08 +0900,2018-06-12 09:55:44 +0900,기고
이상만,이상만.eps,산림청 산림교육원 원장,"",,1,2018-06-11 09:13:33 +0900,2018-06-11 09:22:17 +0900,기고
이경선,이경선.eps,서강대 공대원 겸임교수, 입법학,,1,2018-06-05 08:56:16 +0900,2018-06-05 09:43:50 +0900,
양흥모,양흥모.eps,대전충남녹색연합,사무처장,,1,2018-06-18 09:15:08 +0900,2018-06-18 09:33:15 +0900,기고
신민정,,변호사,여성변호사회 대외협력이사,,1,2018-06-21 08:34:39 +0900,2018-06-21 13:33:48 +0900,기고
신민정,신민정.eps,"","",,1,2018-06-21 09:06:39 +0900,2018-06-21 09:12:35 +0900,기고
백주선,백주선.eps,한국파산회생변호사회 회장,변호사,,1,2018-06-28 08:51:45 +0900,2018-06-28 09:01:06 +0900,기고
박해룡,박해룡.eps,한국액션러닝협회 회장,"",,1,2018-06-08 09:00:32 +0900,2018-06-08 09:24:59 +0900,기고
박종언,박종언.eps,해내 대표변호사,"",,1,2018-06-07 09:08:55 +0900,2018-06-07 09:33:37 +0900,기고
나영선,나영선.eps,한국직업능력개발원 원장,"",,1,2018-06-27 08:44:20 +0900,2018-06-27 08:51:03 +0900,기고
김용식,김용식.eps,(주)비제이파워 대표,"",,1,2018-06-15 08:57:15 +0900,2018-06-15 09:54:40 +0900,기고
김석진,김석진.eps,행정안전부 안전정책실장,"",,1,2018-06-25 08:34:36 +0900,2018-06-25 08:35:18 +0900,기고
김병구,김병구.eps,산림조합중앙회,상임감사,,1,2018-06-19 08:25:53 +0900,2018-06-19 09:35:32 +0900,기고
김국주,,금융인,"",,1,2018-05-30 15:14:51 +0900,2018-06-04 09:19:05 +0900,
권만학,,경희대 교수,국제정치학,,1,2018-05-30 15:14:51 +0900,2018-05-30 15:14:51 +0900,
고진수,,한국고용복지학회,이사,,1,2018-05-30 15:14:51 +0900,2018-06-04 09:20:50 +0900,
고유환,,동국대 교수,북한학,,1,2018-05-30 15:14:51 +0900,2018-06-14 13:42:28 +0900,기고
강석진,,언론인,전 서울신문 편집국장,,1,2018-05-30 15:14:51 +0900,2018-05-30 15:14:51 +0900,
