id,page_number,column,ad_type,layout
1,100,6,15단통,"[[0, 0, 6, 15, ""광고_15단통""]]"
2,101,6,15단통,"[[0, 0, 6, 15, ""광고_15단통""]]"
3,100,6,3단통,"[[0, 0, 3, 12], [3, 0, 3, 12], [0, 12, 6, 3, ""광고_3단통""]]"
4,101,6,3단통,"[[0, 0, 3, 12], [3, 0, 3, 12], [0, 12, 6, 3, ""광고_3단통""]]"
5,100,6,3단통,"[[0, 0, 3, 12], [3, 0, 3, 3], [3, 3, 3, 3], [3, 6, 3, 3], [3, 9, 3, 3], [0, 12, 6, 3, ""광고_3단통""]]"
6,101,6,3단통,"[[0, 0, 3, 12], [3, 0, 3, 3], [3, 3, 3, 3], [3, 6, 3, 3], [3, 9, 3, 3], [0, 12, 6, 3, ""광고_3단통""]]"
7,100,6,3단통,"[[0, 0, 3, 7], [3, 0, 3, 7], [0, 7, 3, 5], [3, 7, 3, 5], [0, 12, 6, 3, ""광고_3단통""]]"
8,101,6,3단통,"[[0, 0, 3, 7], [3, 0, 3, 7], [0, 7, 3, 5], [3, 7, 3, 5], [0, 12, 6, 3, ""광고_3단통""]]"
9,100,7,3단통,"[[0, 0, 4, 12], [4, 0, 3, 5], [4, 5, 3, 3], [4, 8, 3, 4], [0, 12, 7, 3, ""광고_3단통""]]"
10,101,7,3단통,"[[0, 0, 4, 12], [4, 0, 3, 5], [4, 5, 3, 3], [4, 8, 3, 4], [0, 12, 7, 3, ""광고_3단통""]]"
11,100,6,3단통,"[[0, 0, 4, 7], [4, 0, 2, 7], [0, 7, 4, 5], [4, 7, 2, 5], [0, 12, 6, 3, ""광고_3단통""]]"
12,101,6,3단통,"[[0, 0, 4, 7], [4, 0, 2, 7], [0, 7, 4, 5], [4, 7, 2, 5], [0, 12, 6, 3, ""광고_3단통""]]"
13,100,7,3단통,"[[0, 0, 4, 8], [4, 0, 3, 8], [0, 8, 4, 4], [4, 8, 3, 4], [0, 12, 7, 3, ""광고_3단통""]]"
14,101,7,3단통,"[[0, 0, 4, 8], [4, 0, 3, 8], [0, 8, 4, 4], [4, 8, 3, 4], [0, 12, 7, 3, ""광고_3단통""]]"
15,100,7,3단통,"[[0, 0, 5, 12], [5, 0, 2, 6], [5, 6, 2, 6], [0, 12, 7, 3, ""광고_3단통""]]"
16,101,7,3단통,"[[0, 0, 5, 12], [5, 0, 2, 6], [5, 6, 2, 6], [0, 12, 7, 3, ""광고_3단통""]]"
17,100,6,3단통,"[[0, 0, 5, 7], [5, 0, 1, 7], [0, 7, 3, 5], [3, 7, 3, 5], [0, 12, 6, 3, ""광고_3단통""]]"
18,101,6,3단통,"[[0, 0, 5, 7], [5, 0, 1, 7], [0, 7, 3, 5], [3, 7, 3, 5], [0, 12, 6, 3, ""광고_3단통""]]"
19,100,7,3단통,"[[0, 0, 5, 7], [5, 0, 2, 5], [5, 5, 2, 4], [0, 7, 2, 5], [2, 7, 3, 5], [5, 9, 2, 3], [0, 12, 7, 3, ""광고_3단통""]]"
20,100,7,3단통,"[[0, 0, 5, 7], [5, 0, 2, 5], [5, 5, 2, 4], [0, 7, 5, 5], [5, 9, 2, 3], [0, 12, 7, 3, ""광고_3단통""]]"
21,101,7,3단통,"[[0, 0, 5, 7], [5, 0, 2, 5], [5, 5, 2, 4], [0, 7, 5, 5], [5, 9, 2, 3], [0, 12, 7, 3, ""광고_3단통""]]"
22,101,7,3단통,"[[0, 0, 5, 7], [5, 0, 2, 5], [5, 5, 2, 5], [0, 7, 2, 5], [2, 7, 3, 5], [5, 10, 2, 3], [0, 12, 7, 3, ""광고_3단통""]]"
23,100,6,3단통,"[[0, 0, 6, 7], [0, 7, 2, 5], [2, 7, 2, 5], [4, 7, 2, 5], [0, 12, 6, 3, ""광고_3단통""]]"
24,101,6,3단통,"[[0, 0, 6, 7], [0, 7, 2, 5], [2, 7, 2, 5], [4, 7, 2, 5], [0, 12, 6, 3, ""광고_3단통""]]"
25,100,6,3단통,"[[0, 0, 6, 7], [0, 7, 6, 5], [0, 12, 6, 3, ""광고_3단통""]]"
26,101,6,3단통,"[[0, 0, 6, 7], [0, 7, 6, 5], [0, 12, 6, 3, ""광고_3단통""]]"
27,100,7,3단통,"[[0, 0, 7, 12], [0, 12, 7, 3, ""광고_3단통""]]"
28,101,7,3단통,"[[0, 0, 7, 12], [0, 12, 7, 3, ""광고_3단통""]]"
29,100,7,3단통,"[[0, 0, 7, 7], [0, 7, 5, 5], [5, 7, 2, 5], [0, 12, 7, 3, ""광고_3단통""]]"
30,101,7,3단통,"[[0, 0, 7, 7], [0, 7, 5, 5], [5, 7, 2, 5], [0, 12, 7, 3, ""광고_3단통""]]"
31,100,7,3단통,"[[0, 0, 7, 7], [0, 7, 7, 5], [0, 12, 7, 3, ""광고_3단통""]]"
32,101,7,3단통,"[[0, 0, 7, 7], [0, 7, 7, 5], [0, 12, 7, 3, ""광고_3단통""]]"
33,100,7,4단통,"[[0, 0, 4, 4], [4, 0, 3, 4], [0, 4, 4, 4], [4, 4, 3, 3], [4, 7, 3, 4], [0, 8, 4, 3], [0, 11, 7, 4, ""광고_4단통""]]"
34,101,7,4단통,"[[0, 0, 4, 4], [4, 0, 3, 4], [0, 4, 4, 4], [4, 4, 3, 3], [4, 7, 3, 4], [0, 8, 4, 3], [0, 11, 7, 4, ""광고_4단통""]]"
35,100,7,4단통,"[[0, 0, 4, 6], [4, 0, 3, 3], [4, 3, 3, 3], [0, 6, 2, 5], [2, 6, 2, 5], [4, 6, 3, 3], [4, 9, 3, 2], [0, 11, 7, 4, ""광고_4단통""]]"
36,101,7,4단통,"[[0, 0, 4, 6], [4, 0, 3, 3], [4, 3, 3, 3], [0, 6, 2, 5], [2, 6, 2, 5], [4, 6, 3, 3], [4, 9, 3, 2], [0, 11, 7, 4, ""광고_4단통""]]"
37,100,7,4단통,"[[0, 0, 5, 5], [5, 0, 2, 4], [5, 4, 2, 4], [0, 5, 5, 3], [0, 8, 5, 3], [5, 8, 2, 3], [0, 11, 7, 4, ""광고_4단통""]]"
38,101,7,4단통,"[[0, 0, 5, 5], [5, 0, 2, 4], [5, 4, 2, 4], [0, 5, 5, 3], [0, 8, 5, 3], [5, 8, 2, 3], [0, 11, 7, 4, ""광고_4단통""]]"
39,100,7,4단통,"[[0, 0, 5, 6], [5, 0, 2, 5], [5, 5, 2, 6], [0, 6, 3, 5], [3, 6, 2, 5], [0, 11, 7, 4, ""광고_4단통""]]"
40,101,7,4단통,"[[0, 0, 5, 6], [5, 0, 2, 5], [5, 5, 2, 6], [0, 6, 3, 5], [3, 6, 2, 5], [0, 11, 7, 4, ""광고_4단통""]]"
41,100,7,4단통,"[[0, 0, 5, 6], [5, 0, 2, 6], [0, 6, 5, 5], [5, 6, 2, 5], [0, 11, 7, 4, ""광고_4단통""]]"
42,101,7,4단통,"[[0, 0, 5, 6], [5, 0, 2, 6], [0, 6, 5, 5], [5, 6, 2, 5], [0, 11, 7, 4, ""광고_4단통""]]"
43,1,6,4단통,"[[0, 1, 3, 6], [3, 1, 3, 4], [3, 5, 3, 6], [0, 7, 3, 4], [0, 11, 6, 4, ""광고_4단통""]]"
44,1,6,4단통,"[[0, 1, 4, 4], [4, 1, 2, 6], [0, 5, 4, 3], [4, 7, 2, 4], [0, 8, 4, 3], [0, 11, 6, 4, ""광고_4단통""]]"
45,1,6,4단통,"[[0, 1, 4, 5], [4, 1, 2, 5], [0, 6, 2, 5], [2, 6, 2, 5], [4, 6, 2, 5], [0, 11, 6, 4, ""광고_4단통""]]"
46,1,7,4단통,"[[0, 1, 4, 5], [4, 1, 3, 6], [0, 6, 4, 5], [4, 7, 3, 4], [0, 11, 7, 4, ""광고_4단통""]]"
47,1,7,4단통,"[[0, 1, 4, 6], [4, 1, 3, 4], [4, 5, 3, 3], [0, 7, 2, 4], [2, 7, 2, 4], [4, 8, 3, 3], [0, 11, 7, 4, ""광고_4단통""]]"
48,1,6,4단통,"[[0, 1, 4, 7], [4, 1, 2, 5], [4, 6, 2, 5], [0, 8, 4, 3], [0, 11, 6, 4, ""광고_4단통""]]"
49,1,7,4단통,"[[0, 1, 5, 5], [5, 1, 2, 5], [0, 6, 3, 5], [3, 6, 2, 5], [5, 6, 2, 5], [0, 11, 7, 4, ""광고_4단통""]]"
50,1,7,4단통,"[[0, 1, 5, 5], [5, 1, 2, 5], [0, 6, 5, 3], [5, 6, 2, 5], [0, 9, 5, 2], [0, 11, 7, 4, ""광고_4단통""]]"
51,1,7,4단통,"[[0, 1, 7, 5], [0, 6, 5, 5], [5, 6, 2, 5], [0, 11, 7, 4, ""광고_4단통""]]"
52,100,6,5단통,"[[0, 0, 3, 10], [3, 0, 3, 10], [0, 10, 6, 5, ""광고_5단통""]]"
53,101,6,5단통,"[[0, 0, 3, 10], [3, 0, 3, 10], [0, 10, 6, 5, ""광고_5단통""]]"
