name,english,font_family,font,font_size,color,alignment,tracking,space_width,scale,text_line_spacing,space_before_in_lines,text_height_in_lines,space_after_in_lines,custom_font,publication_id
본문명조,body,윤신문명조,YDVYSinStd,9.6,"",justified,-0.5,5.0,100.0,,,,,,1
본문고딕,body_gothic,윤고딕120,YDVYGOStd12,9.4,"",justified,-0.5,5.0,100.0,,,,,,1
본문중제,running_head,윤고딕130,YDVYGOStd13,9.6,"",left,-0.5,5.0,100.0,,,,,,1
발문,quote,윤명조130,YDVYMjOStd13,12.0,"",center,-0.5,6.0,100.0,,,,,,1
관련기사,related story,윤고딕120,YDVYGOStd12,9.4,"",right,-0.5,5.0,100.0,,,,,,1
문패_14pt,name_tag,윤고딕140,YDVYGOStd14,14.0,"",left,-0.5,7.0,100.0,,,,,,1
사진제목,caption_title,윤고딕140,YDVYGOStd14,8.0,"",left,-0.5,4.0,100.0,,,,,,1
사진설명,caption,윤고딕120,YDVYGOStd12,8.0,"",left,-0.5,4.0,100.0,,,,,,1
사진출처,source,윤고딕120,YDVYGOStd12,7.0,"",right,-0.5,4.0,80.0,,,,,,1
기자명,reporter,윤고딕120,YDVYGOStd12,8.0,"",right,-0.5,5.0,100.0,,,,,,1
제목_메인,title_top,윤명조140,YDVYMjOStd14,42.0,"",left,-0.5,21.0,100.0,,2,4,2,,1
제목_4-5단,title_4_5,윤명조140,YDVYMjOStd14,32.0,"",left,-0.5,18.0,100.0,,2,4,2,,1
제목_3단,title_3,윤명조140,YDVYMjOStd14,26.0,"",left,-0.5,13.0,100.0,,2,4,2,,1
제목_2단,title_2,윤명조140,YDVYMjOStd14,22.0,"",left,-0.5,11.0,100.0,,1,3,2,,1
제목_1단,title_1,윤명조140,YDVYMjOStd14,15.0,"",left,-0.5,7.0,100.0,,1,3,2,,1
부제_메인,subtitle_18,윤명조140,YDVYMjOStd14,18.0,"",left,-0.5,9.0,100.0,6.0,1,2,1,,1
부제_14,subtitle_14,윤명조140,YDVYMjOStd14,14.0,"",left,-0.5,7.0,100.0,7.0,1,2,1,,1
부제_12,subtitle_12,윤명조140,YDVYMjOStd14,12.0,"",left,-0.5,6.0,100.0,,,,,,1
뉴스라인_제목,news line_title,윤고딕120,YDVYGOStd12,13.0,"",left,-0.5,6.0,,,,,,,1
애드-브랜드명,brand naming,윤고딕130,YDVYMjOStd13,13.0,"",center,-0.5,6.0,,,,,,,1
문패-18pt,name_tag,윤고딕140,YDVYGOStd14,18.0,"CMYK=100,60,0,0",left,-0.5,9.0,,,,,,,1
문패-12pt,name_tag,윤고딕140,YDVYGOStd14,12.0,"",left,-0.5,6.0,,,,,,,1
편집자주,editor's note,윤고딕130,YDVYGOStd13,8.8,"CMYK=0,0,0,80",left,-0.5,5.0,,,,,,,1
